"TerrID","FemID","MaleID","Repro","Npups","hs_8km","nterr_50km","area_buffer50km","densTerr_50km","Delta_bfem","sYear","nyears"
55,144,42,1,4,0.24302995300293,14,3279.90295079275,33.5240842565377,1,2018,1
25,14,132,1,8,0.5747119140625,24,3969.45257741266,47.4865376369483,8,2018,13
106,12,186,1,3,0.505266815185547,28,5231.81818597088,42.0334724820862,7,2018,14
24,32,137,1,6,0.408742980957031,25,5529.38234958331,35.5102122507695,7,2018,10
123,28,184,1,4,0.277760040283203,30,7006.94070621863,33.6265795442116,5,2018,5
104,123,117,1,6,0.338282440185547,33,6455.47867192795,40.1490589765596,3,2018,3
74,120,138,1,0,0.327225891113281,22,4815.49568841932,35.8815804493339,2,2018,4
49,61,124,1,4,0.324373199462891,17,7850.39343644142,17.007770229423,4,2018,4
21,139,192,1,5,0.187342926025391,20,4920.45280183044,31.9238165684782,2,2018,3
93,133,NA,1,0,0.471906707763672,31,6264.33004321191,38.8666352145732,2,2018,11
23,163,NA,1,4,0.411577911376953,14,7850.39343644145,14.006399012466,2,2018,2
15,138,85,1,3,0.366990936279297,22,4134.47033051126,41.7919545031714,1,2018,1
89,121,188,1,5,0.174061141967773,21,6495.49725160886,25.3919920099438,1,2018,1
73,73,160,1,5,0.273999725341797,35,7451.69545792215,36.8895050450381,2,2018,2
72,145,182,1,5,0.29211767578125,32,7217.08984901446,34.8239273093578,2,2018,2
